run,imgsz,kind,class,reason,width_bin,count
c4d_11s_640,640,GT,person,,4~8px,801
c4d_11s_640,640,matched,person,,4~8px,327
c4d_11s_640,640,GT,person,,8~16px,1907
c4d_11s_640,640,matched,person,,8~16px,1496
c4d_11s_640,640,GT,person,,<4px,14
c4d_11s_640,640,matched,person,,<4px,2
c4d_11s_640,640,GT,person,,>16px,2014
c4d_11s_640,640,matched,person,,>16px,1811
c4d_11s_640,640,GT,bollard,,4~8px,2392
c4d_11s_640,640,matched,bollard,,4~8px,1769
c4d_11s_640,640,GT,bollard,,8~16px,1605
c4d_11s_640,640,matched,bollard,,8~16px,1255
c4d_11s_640,640,GT,bollard,,<4px,1522
c4d_11s_640,640,matched,bollard,,<4px,627
c4d_11s_640,640,GT,bollard,,>16px,1469
c4d_11s_640,640,matched,bollard,,>16px,1213
c4d_11s_640,640,FN,person,blind,4~8px,144
c4d_11s_640,640,FN,person,blind,8~16px,93
c4d_11s_640,640,FN,person,blind,<4px,5
c4d_11s_640,640,FN,person,blind,>16px,41
c4d_11s_640,640,FN,person,lowconf,4~8px,276
c4d_11s_640,640,FN,person,lowconf,8~16px,212
c4d_11s_640,640,FN,person,lowconf,<4px,5
c4d_11s_640,640,FN,person,lowconf,>16px,81
c4d_11s_640,640,FN,person,merged,4~8px,31
c4d_11s_640,640,FN,person,merged,8~16px,79
c4d_11s_640,640,FN,person,merged,<4px,1
c4d_11s_640,640,FN,person,merged,>16px,62
c4d_11s_640,640,FN,person,nearmiss,4~8px,23
c4d_11s_640,640,FN,person,nearmiss,8~16px,27
c4d_11s_640,640,FN,person,nearmiss,<4px,1
c4d_11s_640,640,FN,person,nearmiss,>16px,19
c4d_11s_640,640,FN,bollard,blind,4~8px,211
c4d_11s_640,640,FN,bollard,blind,8~16px,134
c4d_11s_640,640,FN,bollard,blind,<4px,510
c4d_11s_640,640,FN,bollard,blind,>16px,131
c4d_11s_640,640,FN,bollard,lowconf,4~8px,357
c4d_11s_640,640,FN,bollard,lowconf,8~16px,165
c4d_11s_640,640,FN,bollard,lowconf,<4px,296
c4d_11s_640,640,FN,bollard,lowconf,>16px,100
c4d_11s_640,640,FN,bollard,merged,4~8px,26
c4d_11s_640,640,FN,bollard,merged,8~16px,39
c4d_11s_640,640,FN,bollard,merged,<4px,14
c4d_11s_640,640,FN,bollard,merged,>16px,15
c4d_11s_640,640,FN,bollard,nearmiss,4~8px,29
c4d_11s_640,640,FN,bollard,nearmiss,8~16px,12
c4d_11s_640,640,FN,bollard,nearmiss,<4px,75
c4d_11s_640,640,FN,bollard,nearmiss,>16px,10
c4d_11s_640,640,FP,person,confusion,,10
c4d_11s_640,640,FP,person,dup,,115
c4d_11s_640,640,FP,person,ghost,,440
c4d_11s_640,640,FP,person,nearmiss,,117
c4d_11s_640,640,FP,bollard,confusion,,1
c4d_11s_640,640,FP,bollard,dup,,218
c4d_11s_640,640,FP,bollard,ghost,,570
c4d_11s_640,640,FP,bollard,nearmiss,,164
c4d_11s_640,640,sweep_tp@0.25,person,,,3636
c4d_11s_640,640,sweep_fp@0.25,person,,,682
c4d_11s_640,640,sweep_tp@0.25,bollard,,,4864
c4d_11s_640,640,sweep_fp@0.25,bollard,,,953
c4d_11s_640,640,sweep_tp@0.1,person,,,3968
c4d_11s_640,640,sweep_fp@0.1,person,,,2232
c4d_11s_640,640,sweep_tp@0.1,bollard,,,5328
c4d_11s_640,640,sweep_fp@0.1,bollard,,,2469
c4d_11s_640,640,sweep_tp@0.05,person,,,4138
c4d_11s_640,640,sweep_fp@0.05,person,,,4178
c4d_11s_640,640,sweep_tp@0.05,bollard,,,5545
c4d_11s_640,640,sweep_fp@0.05,bollard,,,4121
c4d_11s_640,640,sweep_tp@0.01,person,,,4349
c4d_11s_640,640,sweep_fp@0.01,person,,,13667
c4d_11s_640,640,sweep_tp@0.01,bollard,,,5838
c4d_11s_640,640,sweep_fp@0.01,bollard,,,10566
